abandon;porzucić
ability;możliwość
able;zdolny
abortion;aborcja
about;o
above;powyżej
abroad;za granicą
absence;brak
absolute;bezwzględnie
absolutely;bezwzględnie
absorb;wchłonąć
abuse;nadużycie
academic;akademicki
accept;akceptować
access;dostęp
accident;wypadek
accompany;towarzyszyć
accomplish;dokonać
according;zgodnie z
account;konto
accurate;dokładny
accuse;oskarżać
achieve;osiągnięcie
achievement;osiągnięcie
acid;kwas
acknowledge;potwierdzić
acquire;nabyć
across;przez
act;działać
action;działanie
active;aktywny
activist;działacz
activity;działalność
actor;aktor
actress;aktorka
actual;rzeczywisty
actually;faktycznie
ad;reklama
adapt;adaptacja
add;dodać
addition;dodatek
additional;dodatkowy
address;adres
adequate;odpowiedni
adjust;dostosowywać
adjustment;dostosowanie
administration;administracja
administrator;administrator
admire;podziwiać
admission;wstęp
admit;przyznać się
adolescent;młodzieńcy
adopt;przyjąć
adult;dorosły
advance;awansować
advanced;zaawansowany
advantage;korzyść
adventure;przygoda
advertising;reklama
advice;rada
advise;rada
adviser;doradca
advocate;adwokat
affair;romans
affect;wpływ
afford;dawać
afraid;boi się
African;Afrykański
African-American;Afroamerykanin
after;po
afternoon;po południu
again;ponownie
against;przeciwko
age;wiek
agency;agencja
agenda;agenda
agent;agent
aggressive;agresywny
ago;temu
agree;zgadzać się
agreement;porozumienie
agricultural;rolniczy
ah;ah
ahead;przed
aid;pomoc
aide;aide
AIDS;AIDS
aim;aim
air;powietrze
aircraft;samolot
airline;linia lotnicza
airport;lotnisko
album;album
alcohol;alkohol
alive;żyjący
all;wszystkie
alliance;sojusz
allow;pozwolić
ally;sojusz
almost;prawie
alone;sam
along;wzdłuż
already;już
also;również
alter;zmienić
alternative;alternatywa
although;chociaż
always;zawsze
AM;AM
amazing;niesamowite
American;amerykański
among;wśród
amount;kwota
analysis;analiza
analyst;analityk
analyze;analizować
ancient;starożytny
and;i
anger;gniew
angle;kąt
angry;zły
animal;zwierzę
anniversary;rocznica
announce;ogłoszenie
annual;rocznica
another;kolejny
answer;odpowiedź
anticipate;antycypować
anxiety;lęk
any;każdy
anybody;ktokolwiek
anymore;więcej
anyone;każdy
anything;cokolwiek
anyway;w każdym razie
anywhere;gdziekolwiek
apart;oprócz
apartment;mieszkanie
apparent;pozornie
apparently;najwyraźniej
appeal;odwołanie
appear;pojawić się
appearance;wygląd
apple;jabłko
application;aplikacja
apply;stosować
appoint;mianować
appointment;powołanie
appreciate;doceniać
approach;zbliżać się
appropriate;odpowiedni
approval;zatwierdzenie
approve;zatwierdzić
approximately;w przybliżeniu
Arab;arabski
architect;architekt
area;obszar
argue;argumentować
argument;argument
arise;powstać
arm;ramię
armed;uzbrojony
army;armia
around;wokół
arrange;zorganizować
arrangement;aranżacja
arrest;aresztowanie
arrival;przyjazd
arrive;przyjechać
art;sztuka
article;artykuł
artist;artysta
artistic;artystyczny
as;jako
Asian;azjatycki
aside;na bok
ask;zapytaj
asleep;śpiący
aspect;aspekt
assault;atakować
assert;twierdzić
assess;ocenić
assessment;ocena
asset;składnik majątku
assign;przypisać
assignment;przypisanie
assist;pomoc
assistance;pomoc
assistant;asystent
associate;współpracownik
association;stowarzyszenie
assume;założyć
assumption;założenie
assure;zapewnienie
at;na
athlete;sportowiec
athletic;sportowy
atmosphere;atmosfera
attach;dołączyć
attack;atak
attempt;próba
attend;uczęszczać do
attention;uwaga
attitude;postawa
attorney;adwokat
attract;przyciągać
attractive;atrakcyjny
attribute;atrybut
audience;publiczność
author;autor
authority;autorytet
auto;auto
available;dostępny
average;średnia
avoid;uniknąć
award;nagroda
aware;świadomy
awareness;świadomość
away;away
awful;okropne
baby;dziecko
back;z powrotem
background;tło
bad;zły
badly;źle
bag;torba
bake;piec
balance;równowaga
ball;piłka
ban;ban
band;pasmo
bank;bank
bar;bar
barely;ledwie
barrel;beczka
barrier;bariera
base;baza
baseball;baseball
basic;podstawowy
basically;zasadniczo
basis;podstawa
basket;kosz
basketball;koszykówka
bathroom;łazienka
battery;bateria
battle;bitwa
be;być
beach;plaża
bean;fasola
bear;niedźwiedź
beat;bić
beautiful;piękna
beauty;piękno
because;ponieważ
become;stać się
bed;łóżko
bedroom;sypialnia
beer;piwo
before;przed
begin;początek
beginning;początek
behavior;zachowanie
behind;za
being;bycie
belief;wiara
believe;wierzyć
bell;dzwonek
belong;należeć
below;poniżej
belt;pas
bench;ławka
bend;zgięcie
beneath;pod
benefit;korzyść
beside;obok
besides;oprócz
best;najlepszy
bet;zakład
better;lepiej
between;pomiędzy
beyond;poza
Bible;Biblia
big;duży
bike;rower
bill;bill
billion;miliard
bind;wiązanie
biological;biologiczny
bird;ptak
birth;narodziny
birthday;urodziny
bit;bit
bite;ugryzienie
black;czarny
blade;ostrze
blame;blame
blanket;koc
blind;ślepy
block;blok
blood;krew
blow;cios
blue;niebieski
board;deska
boat;łódź
body;ciało
bomb;bomba
bombing;bombardowanie
bond;obligacja
bone;kość
book;książka
boom;boom
boot;but
border;granica
born;urodzony
borrow;pożyczka
boss;szef
both;obaj
bother;przeszkadzać
bottle;butelka
bottom;dół
boundary;granica
bowl;miska
box;pudełko
boy;chłopak
boyfriend;chłopak
brain;mózg
branch;oddział
brand;marka
bread;chleb
break;przerwa
breakfast;śniadanie
breast;pierś
breath;oddech
breathe;oddychać
brick;cegła
bridge;most
brief;krótko
briefly;krótko
bright;jasny
brilliant;genialny
bring;wnosić
British;brytyjski
broad;szeroki
broken;złamany
brother;brat
brown;brązowy
brush;szczotka
buck;kozioł
budget;budżet
build;budować
building;budowa
bullet;kula
bunch;garść
burden;obciążenie
burn;spalić
bury;zakopać
bus;autobus
business;biznes
busy;zajęty
but;ale
butter;masło
button;przycisk
buy;kupić
buyer;kupujący
by;przez
cabin;kabina
cabinet;szafka
cable;kabel
cake;ciasto
calculate;obliczyć
call;połączenie
camera;kamera
camp;obóz
campaign;kampania
campus;kampania
can;can
Canadian;kanadyjski
cancer;rak
candidate;kandydat
cap;czapka
capability;możliwość
capable;zdolny
capacity;zdolność
capital;kapitał
captain;kapitan
capture;przechwycenie
car;samochód
carbon;węgiel
card;karta
care;opieka
career;kariera
careful;ostrożnie
carefully;starannie
carrier;nośnik
carry;nosić
case;przypadek
cash;gotówka
cast;odlew
cat;kot
catch;złapać
category;kategoria
Catholic;katolik
cause;przyczyna
ceiling;sufit
celebrate;świętować
celebration;obchody
celebrity;celebrytka
cell;komórka
center;centrum
central;centrala
century;century
CEO;CEO
ceremony;uroczystość
certain;pewny
certainly;z pewnością
chain;łańcuch
chair;przewodniczący
chairman;przewodniczący
challenge;wyzwanie
chamber;izba
champion;mistrz
championship;mistrzostwa
chance;szansa
change;zmiana
changing;zmiana
channel;kanał
chapter;rozdział
character;charakter
characteristic;charakterystyczny
characterize;scharakteryzować
charge;opłata
charity;organizacja charytatywna
chart;wykres
chase;pościg
cheap;tanio
check;sprawdzić
cheek;policzek
cheese;ser
chef;szef kuchni
chemical;chemia
chest;klatka piersiowa
chicken;kurczak
chief;szef
child;dziecko
childhood;dzieciństwo
Chinese;chiński
chip;chip
chocolate;czekolada
choice;wybór
cholesterol;cholesterol
choose;wybierz
Christian;chrześcijański
Christmas;Boże Narodzenie
church;kościół
cigarette;papieros
circle;krąg
circumstance;okoliczność
cite;zacytować
citizen;obywatel
city;miasto
civil;cywil
civilian;cywil
claim;pozew
class;klasa
classic;klasyczny
classroom;klasa
clean;czysty
clear;czysto
clearly;wyraźnie
client;klient
climate;klimat
climb;wspinaczka
clinic;klinika
clinical;kliniczny
clock;zegar
close;blisko
closely;blisko
closer;bliżej
clothes;ubrania
clothing;ubrania
cloud;chmura
club;klub
clue;wskazówka
cluster;klaster
coach;trener
coal;węgiel
coalition;koalicja
coast;wybrzeże
coat;płaszcz
code;kod
coffee;kawa
cognitive;poznań
cold;zimno
collapse;upadek
colleague;kolega
collect;zbierać
collection;zbiór
collective;kolektyw
college;kolegium
colonial;kolonialny
color;kolor
column;kolumna
combination;kombinacja
combine;połączyć
come;przyjść
comedy;komedia
comfort;komfort
comfortable;wygodny
command;komenda
commander;dowódca
comment;komentarz
commercial;handlowy
commission;zlecenie
commit;zobowiązanie
commitment;zobowiązanie
committee;komisja
common;wspólny
communicate;komunikacja
communication;komunikacja
community;wspólnota
company;przedsiębiorstwo
compare;porównaj
comparison;porównanie
compete;konkurencja
competition;konkurencja
competitive;konkurencyjny
competitor;konkurent
complain;skarga
complaint;skarga
complete;kompletny
completely;całkowicie
complex;skomplikowany
complicated;skomplikowany
component;składnik
compose;skomponować
composition;skład
comprehensive;kompleksowy
computer;komputer
concentrate;skoncentrować się
concentration;koncentracja
concept;pojęcie
concern;obawy
concerned;zainteresowany
concert;koncert
conclude;podsumowanie
conclusion;konkluzja
concrete;konkretny
condition;stan
conduct;prowadzenie
conference;konferencja
confidence;zaufanie
confident;pewny siebie
confirm;potwierdzić
conflict;konflikt
confront;konfrontacja
confusion;zamieszanie
Congress;Kongres
congressional;kongresowy
connect;połączyć
connection;połączenie
consciousness;świadomość
consensus;konsensus
consequence;konsekwencja
conservative;konserwatywny
consider;uważać
considerable;znaczący
consideration;rozważanie
consist;składać się
consistent;konsekwentny
constant;stały
constantly;stale
constitute;stanowić
constitutional;konstytucyjny
construct;zbudować
construction;budowa
consultant;konsultant
consume;konsumować
consumer;konsument
consumption;konsumpcja
contact;kontakt
contain;zawierać
container;pojemnik
contemporary;współczesny
content;treść
contest;konkurs
context;kontekst
continue;kontynuować
continued;ciąg dalszy
contract;umowa
contrast;kontrast
contribute;przyczynić się
contribution;wkład
control;kontrola
controversial;kontrowersyjny
controversy;kontrowersja
convention;konwencja
conventional;konwencjonalny
conversation;rozmowa
convert;nawrócenie
conviction;przekonanie
convince;przekonywanie
cook;gotować
cookie;ciasteczko
cooking;gotowanie
cool;chłód
cooperation;współpraca
cop;policjant
cope;radzić sobie
copy;kopia
core;rdzeń
corn;kukurydza
corner;róg
corporate;korporacyjny
corporation;spółka
correct;poprawny
correspondent;korespondent
cost;koszt
cotton;bawełna
couch;kanapa
could;może
council;rada
counselor;doradca
count;liczyć
counter;licznik
country;kraj
county;hrabstwo
couple;para
courage;odwaga
course;kurs
court;sąd
cousin;kuzyn
cover;pokrycie
coverage;pokrycie
cow;krowa
crack;pęknięcie
craft;rzemiosło
crash;krach
crazy;szalony
cream;krem
create;utworzyć
creation;tworzenie
creative;kreatywny
creature;creature
credit;kredyt
crew;załoga
crime;przestępstwo
criminal;przestępca
crisis;kryzys
criteria;kryteria
critic;krytyk
critical;krytyczny
criticism;krytyka
criticize;krytykować
crop;uprawa
cross;krzyż
crowd;tłum
crucial;kluczowy
cry;wołanie
cultural;kulturalny
culture;kultura
cup;filiżanka
curious;ciekawy
current;aktualny
currently;obecnie
curriculum;program nauczania
custom;zamówienie
customer;klient
cut;cięcie
cycle;cykl
dad;tata
daily;codziennie
damage;szkoda
dance;taniec
danger;niebezpieczeństwo
dangerous;niebezpieczny
dare;odważysz się
dark;ciemność
darkness;ciemność
data;dane
date;data
daughter;córka
day;dzień
dead;martwy
deal;umowa
dealer;dealer
dear;drogi
death;śmierć
debate;debata
debt;dług
decade;dekada
decide;podjąć decyzję
decision;decyzja
deck;pokład
declare;deklaracja
decline;spadać
decrease;spadek
deep;głęboko
deeply;głęboko
deer;jeleń
defeat;pokonać
defend;bronić
defendant;pozwany
defense;obrona
defensive;obronny
deficit;deficyt
define;określić
definitely;zdecydowanie
definition;definicja
degree;stopień
delay;opóźnienie
deliver;dostarczyć
delivery;dostawa
demand;żądanie
democracy;demokracja
Democrat;Demokrata
democratic;demokratyczny
demonstrate;wykazać
demonstration;demonstracja
deny;zaprzeczyć
department;dział
depend;zależny
dependent;zależny
depending;zależny
depict;zobrazować
depression;depresja
depth;głębokość
deputy;zastępca
derive;wywodzić się
describe;opisywać
description;opis
desert;pustynia
deserve;zasługiwać
design;zaprojektować
designer;projektant
desire;pragnienie
desk;biurko
desperate;zdesperowany
despite;mimo
destroy;zniszczyć
destruction;zniszczenie
detail;szczegółowy
detailed;szczegółowy
detect;wykryć
determine;określić
develop;rozwinąć
developing;rozwijający się
development;rozwój
device;urządzenie
devote;poświęcić
dialogue;dialog
die;umierać
diet;dieta
differ;różnić się
difference;różnica
different;inaczej
differently;inaczej
difficult;trudne
difficulty;trudność
dig;dig
digital;cyfrowy
dimension;wymiar
dining;jadalnia
dinner;obiad
direct;bezpośredni
direction;kierunek
directly;bezpośrednio
director;dyrektor
dirt;brud
dirty;brudny
disability;niepełnosprawność
disagree;nie zgadzać się
disappear;zniknąć
disaster;katastrofa
discipline;dyscyplina
discourse;dyskurs
discover;odkryć
discovery;odkrycie
discrimination;dyskryminacja
discuss;dyskutować
discussion;dyskusja
disease;choroba
dish;danie
dismiss;zwolnienie
disorder;zaburzenie
display;wyświetlanie
dispute;spór
distance;odległość
distant;daleki
distinct;wyraźny
distinction;rozróżnienie
distinguish;wyróżnić
distribute;rozpowszechniać
distribution;dystrybucja
district;dzielnica
diverse;różnorodny
diversity;różnorodność
divide;podział
division;podział
divorce;rozwód
DNA;DNA
do;zrobić
doctor;lekarz
document;dokument
dog;pies
domestic;domowy
dominant;dominujący
dominate;dominować
door;drzwi
double;podwójny
doubt;wątpliwość
down;w dół
downtown;śródmieście
dozen;tuzin
draft;projekt
drag;drag
drama;dramat
dramatic;dramatycznie
